dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-01-26,Kroma,mainnet,255,2.0,273817,43200,0,0,226327,222826,20942,37271171238,822415384,562532122.6560024,,62002230,51400961499999.99,35158257665999.996,,562532122.6560024,0.0,822415384,49377486,34900850652,19.9266963065796,5.9146676909879e-05,11.044252934439267,8.882443372140356,690265.8084024535,0.0,1.7508542813869934e-06,8.88244162128607,468244572,378476748,51400961.5,51400961.5,19.633106252304046,,0.2545050681058757,5.016652169441153e-08,685.1483469909896,0.6840000000000325,0.0,86400.0,5.239050925925926,2.619525462962963,862758.5934722222,431379.2967361111,0.00046126611820786114,0.00023063305910393057,kroma,kroma
2024-01-24,Kroma,mainnet,255,2.0,253418,43200,0,0,206076,200971,18768,33377509297,747521052,511304399.56800115,,57860684,46720065749999.96,31956524972999.957,,511304399.56800115,0.0,747521052,45236104,31010732741,18.393330013211614,4.9652874667247e-05,6.4056543744071,11.987675638804566,400353.3984004439,0.0,1.5530244405099885e-06,11.987674085780046,431113100,341341576,46720065.75,46720065.75,12.528064260388382,,0.38656537847476363,5.00802239495839e-08,389.44986475213324,0.6840000000000201,0.0,86400.0,4.770277777777777,2.3851388888888887,772627.5300231482,386313.7650115741,0.00042577152808360216,0.00021288576404180108,kroma,kroma
2024-01-25,Kroma,mainnet,255,2.0,248061,43200,0,0,201183,198346,21034,33856821074,736570824,503814443.616001,,57321350,46035676499999.984,31488402725999.992,,503814443.616001,0.0,736570824,44697738,31498477506,20.060692937311604,7.463279671690801e-05,12.588567142512543,7.472125794799063,786785.4464070344,0.0,1.5771966039369918e-06,7.472124217602433,429639620,339880128,46035676.5,46035676.5,24.98651497992278,,0.23722180836758522,5.007215360287024e-08,787.8670246606306,0.6840000000000169,0.0,86400.0,4.657013888888889,2.3285069444444444,783722.7100462962,391861.3550231481,0.00046436789206739823,0.00023218394603369911,kroma,kroma
2024-01-28,Kroma,mainnet,255,2.0,368567,43200,0,0,319473,314762,25629,46740517808,1155146228,790120019.9520042,,80761146,72196639249999.97,49382501246999.97,,790120019.9520042,0.0,1155146228,68120562,44332470856,22.165421172863223,4.01862840772775e-05,9.6163491764773,12.549071996386003,601021.8235298313,0.0,2.260547478294001e-06,12.549069735838506,619386180,529500480,72196639.25,72196639.25,12.170744866155454,,0.2830672812518733,5.0990784737368816e-08,539.2957236924136,0.6840000000000759,0.0,86400.0,7.395208333333334,3.697604166666667,1081956.4307407408,540978.2153703704,0.0005130884530755376,0.0002565442265377688,kroma,kroma
2024-01-29,Kroma,mainnet,255,2.0,108446,43200,0,0,63610,61611,11885,10019086265,216015184,147754385.8559998,,24660443,13500948999999.885,9234649115999.936,,147754385.8559998,0.0,216015184,11991587,7695110782,6.821791769555639,5.5406421203477496e-05,1.8723956002472486,4.949396169308386,117024.725015453,0.0,3.858875409959992e-07,4.949395783420852,180749756,90658964,13500949.0,13500949.0,12.672352088905829,,0.6431871235545771,5.014710664057614e-08,98.36098733834721,0.6839999999999984,0.0,86400.0,1.4724537037037038,0.7362268518518519,231923.2931712963,115961.64658564815,0.00015791184651749163,7.895592325874581e-05,kroma,kroma
2024-01-27,Kroma,mainnet,255,2.0,286703,43200,0,0,238133,233996,20221,36499985879,854423184,584425457.8560028,,62925855,53401448999999.97,36526591115999.984,,584425457.8560028,0.0,854423184,50299107,34105667196,18.143134884551575,4.5089000440202e-05,8.037605554127968,10.105529330423629,502350.34713299776,0.0,1.726415658712997e-06,10.10552760400799,477324648,387539676,53401449.0,53401449.0,13.753003819536747,,0.2963005905249888,5.061961253511139e-08,466.6833483299729,0.6840000000000385,0.0,86400.0,5.512337962962963,2.7561689814814816,844907.0805324074,422453.5402662037,0.0004199799741794346,0.0002099899870897173,kroma,kroma
2024-01-23,Kroma,mainnet,255,2.0,245078,43200,0,0,198507,194194,19899,28962261865,693472544,474335220.0959997,,52381100,43342033999999.984,29645951255999.984,,474335220.0959997,0.0,693472544,39760296,26611992840,23.168317830746282,8.4315079540571e-05,8.238022212585127,14.93029561816123,514876.38828657044,0.0,1.3340405371399866e-06,14.930294284120471,391717136,301991844,43342034.0,43342034.0,17.36751112624093,,0.5610363608590623,5.012929866472819e-08,454.48775248028375,0.6840000000000153,0.0,86400.0,4.595069444444444,2.297534722222222,670422.7283564815,335211.36417824076,0.0005363036534894972,0.0002681518267447486,kroma,kroma
2024-02-02,Kroma,mainnet,255,2.0,53762,43200,0,0,10498,10438,2735,3600015950,35578328,24335576.35200001,,14608781,2223645499999.9795,1520973521999.9849,,24335576.35200001,0.0,35578328,1992749,1320068898,1.126740119299472,6.69891456201345e-05,0.5278115546224725,0.5989285646769994,32988.22216390453,0.0,6.600344490000002e-08,0.5989284986735547,104636456,14928620,2223645.5,2223645.5,21.688886549798106,,0.4537100795151064,5.000000000000002e-08,28.84176524789879,0.6839999999999983,0.0,86400.0,0.24300925925925926,0.12150462962962963,83333.70254629629,41666.851273148146,2.6081947206006294e-05,1.3040973603003147e-05,kroma,kroma
2024-01-30,Kroma,mainnet,255,2.0,61284,43200,0,0,17963,17823,4808,4265982551,61126468,41810504.112000026,,16026242,3820404249999.972,2613156506999.9824,,41810504.112000026,0.0,61126468,3409306,1985068339,2.2410648765838266,8.5685567904212e-05,1.1439747756079757,1.0970901009758518,71498.42347549846,0.0,9.925341694999991e-08,1.097090001722435,115554872,25843600,3820404.25,3820404.25,27.360941942808417,,0.5526711999892767,5.000000000000002e-08,54.42051703403315,0.683999999999998,0.0,86400.0,0.4158101851851852,0.2079050925925926,98749.59608796296,49374.79804398148,5.1876501772773765e-05,2.5938250886386883e-05,kroma,kroma
2024-01-31,Kroma,mainnet,255,2.0,58290,43200,0,0,15030,14959,3579,3941764622,48621628,33257193.55200002,,15111892,3038851749999.972,2078574596999.983,,33257193.55200002,0.0,48621628,2495860,1661197538,1.4977978280978452,6.12550474144455e-05,0.7864290915334431,0.711368736564402,49151.81822084021,0.0,8.305987689999999e-08,0.7113686535045256,108853468,19147600,3038851.75,3038851.75,23.646886809730713,,0.4282264572946903,5.000000000000003e-08,39.70104924033273,0.683999999999998,0.0,86400.0,0.34791666666666665,0.17395833333333333,91244.55143518519,45622.275717592594,3.467124602078345e-05,1.7335623010391726e-05,kroma,kroma
2024-02-01,Kroma,mainnet,255,2.0,56173,43200,0,0,12903,12833,2828,3924544629,43428964,29705411.37600002,,14979138,2714310249999.977,1856588210999.985,,29705411.37600002,0.0,43428964,2362622,1645160316,1.5028012551969772,7.51050275570375e-05,0.7761054494014942,0.726695805795483,48506.5905875934,0.0,8.225801580000002e-08,0.7266957235374674,107758812,18066860,2714310.25,2714310.25,26.126736289824354,,0.44171732002529207,5.0000000000000024e-08,43.75809644804855,0.6839999999999979,0.0,86400.0,0.29868055555555556,0.14934027777777778,90845.94048611111,45422.970243055555,3.478706609252262e-05,1.739353304626131e-05,kroma,kroma
2024-02-04,Kroma,mainnet,255,2.0,35863,30293,0,0,5511,5475,1731,2244496412,18850624,12893826.816,,9896842,1178163999999.9844,805864175999.9896,,12893826.816,0.0,18850624,1049094,646002919,0.5288549702132034,6.1221832754488e-05,0.21253420322860755,0.3163207669845959,13283.38770178797,0.0,3.230014595000001e-08,0.31632073468444993,70928104,8010900,1178164.0,1178164.0,16.483407623008834,,0.48965841744841376,5.0000000000000004e-08,10.59015510319801,0.6839999999999989,0.0,60586.0,0.18192321658468955,0.09096160829234477,74092.90634800118,37046.45317400059,1.745799261259048e-05,8.72899630629524e-06,kroma,kroma
2024-02-03,Kroma,mainnet,255,2.0,51748,43200,0,0,8481,8430,2345,3366797782,29065884,19881064.656,,14234554,1816617749999.9788,1242566540999.9846,,19881064.656,0.0,29065884,1618590,1087368550,1.0363959247347487,6.99644916024395e-05,0.35061064127052766,0.6857852834642216,21913.165079407958,0.0,5.436842750000004e-08,0.6857852290957942,102094588,12382188,1816617.75,1816617.75,17.635405715795965,,0.6306833901571104,5.000000000000002e-08,19.01697320470625,0.6839999999999984,0.0,86400.0,0.19631944444444444,0.09815972222222222,77935.1338425926,38967.5669212963,2.399064640589696e-05,1.199532320294848e-05,kroma,kroma
