,network_version,chain_name,name,chain_id,public_rpc,sequencer_rpc,explorer,superchain_level,system_config_addr,batch_inbox_addr,genesis_l1_hash,genesis_l1_number,genesis_l2_hash,genesis_l2_number,genesis_l2_time,canyon_time,delta_time,chain_config_name,display_name
0,mainnet,base,Base,8453,https://mainnet.base.org,https://mainnet-sequencer.base.org,https://explorer.base.org,2,0x73a79fab69143498ed3712e519a88a918e1f4072,0xff00000000000000000000000000000000008453,0x5c13d307623a926cd31415036c8b7fa14572f9dac64528e857a470511fc30771,17481768,0xf712aa9241cc24369b143cf6dce85f0902a9731e70d66818a3a5845b296c73dd,0,1686789347,,,mainnet_base,Base
1,mainnet,lyra,Lyra,957,https://rpc.lyra.finance,https://rpc.lyra.finance,https://explorer.lyra.finance,1,0x0e4c4cdd01cecb01070e9fdfe7600871e4ae996e,0x5f7f7f6db967f0ef10bda0678964dba185d16c50,0x00b06b23108483a0b6af8ff726b5ed3f508b7986f72c12679b10d72c05839716,18574841,0x047f535b3da7ad4f96d353b5a439740b7591413daee0e2f27dd3aabb24581af2,0,1700021615,,,mainnet_lyra,Lyra
2,mainnet,metal,Metal,1750,https://rpc.metall2.com,https://rpc.metall2.com,https://explorer.metall2.com,2,,0xc83f7d9f2d4a76e81145849381aba02602373723,0x2493565ce8472656b7c22377c8d4d8ef5d17f78392c799ca5f2429b01e2c159c,19527340,0xd31c12ffff2d563897ad9a041c0d26790d635911bdbbfa589347fa955f75281e,0,1711563515,,,mainnet_metal,Metal
3,mainnet,mode,Mode,34443,https://mainnet.mode.network,https://mainnet-sequencer.mode.network,https://explorer.mode.network,2,0x5e6432F18Bc5d497B1Ab2288a025Fbf9D69E2221,0x24E59d9d3Bd73ccC28Dc54062AF7EF7bFF58Bd67,0xf9b1b22a7ef9d13f063ea467bcb70fb6e9f29698ecb7366a2cdf5af2165cacee,18586927,0xb0f682e12fc555fd5ce8fce51a59a67d66a5b46be28611a168260a549dac8a9b,0,1700167583,,,mainnet_mode,Mode
4,mainnet,op,OP-Mainnet,10,https://mainnet.optimism.io,https://mainnet-sequencer.optimism.io,https://explorer.optimism.io,2,0x229047fed2591dbec1eF1118d64F7aF3dB9EB290,0xff00000000000000000000000000000000000010,0x438335a20d98863a4c0c97999eb2481921ccd28553eac6f913af7c12aec04108,17422590,0xdbf6a80fef073de06add9b0d14026d6e5a86c85f6d102c36d3d8e9cf89c2afd3,105235063,1686068903,,,mainnet_op,OP Mainnet
5,mainnet,orderly,Orderly Network,291,https://rpc.orderly.network,https://rpc.orderly.network,https://explorer.orderly.network,1,0x886b187c3d293b1449a3a0f23ca9e2269e0f2664,0x08aa34cc843ceebcc88a627f18430294aa9780be,0x787d5dd296d63bc6e7a4158d4f109e1260740ee115f5ed5124b35dece1fa3968,18292529,0xe53c94ddd42714239429bd132ba2fa080c7e5cc7dca816ec6e482ec0418e6d7f,0,1696608227,,,mainnet_orderly,Orderly Network
6,mainnet,pgn,PGN,424,https://rpc.publicgoods.network,https://rpc.publicgoods.network,https://explorer.publicgoods.network,1,0x7Df716EAD1d83a2BF35B416B7BC84bd0700357C9,0xC1B90E1e459aBBDcEc4DCF90dA45ba077d83BFc5,0x8474f830d93f50b27db60ec4dd95c704d05d7b4a39766759955374da78cfb20c,17672702,0x39c02e153c193000f2d2907de42cc49f48329163f71d7f9c3fd0e15f41b529db,0,1689106727,,,mainnet_pgn,PGN
7,mainnet,superlumio,SuperLumio,8866,https://mainnet.lumio.io,https://mainnet.lumio.io,https://explorer.lumio.io,2,,0xa12cf34001e553dc254d131105364351f5174d75,0xbe51a75131cf63e18596329bd4f8b805ce8dd6a0b17787d5da10f563616f1f1e,19314558,0x01711dc53a82967a34f4b38f7dff3ae8fa760882bb1e2ace50bb01e9ff420a9b,0,1708984631,,,mainnet_superlumio,SuperLumio
8,mainnet,zora,Zora,7777777,https://rpc.zora.energy,https://rpc.zora.energy,https://explorer.zora.energy,2,0xA3cAB0126d5F504B071b81a3e8A2BBBF17930d86,0x6F54Ca6F6EdE96662024Ffd61BFd18f3f4e34DFf,0xbdbd2847f7aa5f7cd1bd4c9f904057f4ba0b498c7e380199c01d240e3a41a84f,17473923,0x47555a45a1af8d4728ca337a1e48375a83919b1ea16591e070a07388b7364e29,0,1686693839,,,mainnet_zora,Zora
9,sepolia-dev-0,base-devnet-0,Base devnet 0,11763072,,,,2,0x7f67dc4959cb3e532b10a99f41bdd906c46fdfde,0xff00000000000000000000000000000011763072,0x86252c512dc5bd7201d0532b31d50696ba84344a7cda545e04a98073a8e13d87,4344216,0x1ab91449a7c65b8cd6c06f13e2e7ea2d10b6f9cbf5def79f362f2e7e501d2928,0,1695433056,1698436800.0,1706555000.0,sepolia-dev-0_base-devnet-0,Base devnet 0
10,sepolia-dev-0,oplabs-devnet-0,OP Labs Sepolia devnet 0,11155421,,,,2,0xa6b72407e2dc9ebf84b839b69a24c88929cf20f7,0xff00000000000000000000000000000011155421,0x5639be97000fec7131a880b19b664cae43f975c773f628a08a9bb658c2a68df0,5173577,0x027ae1f4f9a441f9c8a01828f3b6d05803a0f524c07e09263264a38b755f804b,0,1706484048,,,sepolia-dev-0_oplabs-devnet-0,OP Labs Sepolia devnet 0
11,sepolia,base,Base Sepolia,84532,https://sepolia.base.org,https://sepolia-sequencer.base.org,https://sepolia-explorer.base.org,2,0xf272670eb55e895584501d564AfEB048bEd26194,0xff00000000000000000000000000000000084532,0xcac9a83291d4dec146d6f7f69ab2304f23f5be87b1789119a0c5b1e4482444ed,4370868,0x0dcc9e089e30b90ddfc55be9a37dd15bc551aeee999d2e2b51414c54eaf934e4,0,1695768288,,,sepolia_base,Base Sepolia
12,sepolia,metal,Metal Sepolia,1740,https://testnet.rpc.metall2.com,https://testnet.rpc.metall2.com,https://testnet.explorer.metall2.com,2,,0x24567b64a86a4c966655fba6502a93dfb701e316,0x6a10927c70985f75898c48235b620acb2a48e9c777a40022f9dbad1b0c96a9c1,5304030,0xd24cf8e46b189b0c128dab4e46168520e3a4cdd390b239e8cc1e5abd22a629ae,0,1708129620,,1708385400.0,sepolia_metal,Metal Sepolia
13,sepolia,mode,Mode Sepolia,919,https://sepolia.mode.network,https://sepolia.mode.network,https://sepolia.explorer.mode.network,2,,0xcddae6148da1e003c230e4527f9baedc8a204e7e,0x4370cafe528a1b8f2aaffc578094731daf69ff82fd9edc30d2d842d3763f3410,3778382,0x13c352562289a88ed33087a51b6b6c859a27709c8555c9def7cb9757c043acad,0,1687867932,1703203200.0,,sepolia_mode,Mode Sepolia
14,sepolia,op,OP-Sepolia,11155420,https://sepolia.optimism.io,https://sepolia-sequencer.optimism.io,https://sepolia-optimistic.etherscan.io,2,0x034edd2a225f7f429a63e0f1d2084b9e0a93b538,0xff00000000000000000000000000000011155420,0x48f520cf4ddaf34c8336e6e490632ea3cf1e5e93b0b2bc6e917557e31845371b,4071408,0x102de6ffb001480cc9b8b548fd05c34cd4f46ae4aa91759393db90ea0409887d,0,1691802540,,,sepolia_op,OP Sepolia
15,sepolia,pgn,PGN Sepolia,58008,https://sepolia.publicgoods.network,https://sepolia.publicgoods.network,https://explorer.sepolia.publicgoods.network,1,0x4BCCC52151f0ad7C62D45Ce0aA77d9d8ffCE534e,0x454A2A86132C937AD4eFc8721f1b85418f92cbCe,0x41dc2afe8963b5ca8e1c7457ffc356acb4366c6fef6bec353b1463245f02cd8b,3610357,0x1d2ad9a8139d33161b1915698d2ae94019fd0817f2113198b6cb568110fa16ad,0,1685727972,,,sepolia_pgn,PGN Sepolia
16,sepolia,zora,Zora Sepolia,999999999,https://sepolia.rpc.zora.energy,https://sepolia.rpc.zora.energy,https://sepolia.explorer.zora.energy,2,0xb54c7bfc223058773cf9b739cc5bd4095184fb08,0xcd734290e4bd0200dac631c7d4b9e8a33234e91f,0xf782446a2487d900addb5d466a8597c7c543b59fa9aaa154d413830238f8798a,4548041,0x8b17d2d52564a5a90079d9c860e1386272579e87b17ea27a3868513f53facd74,0,1698080004,,,sepolia_zora,Zora Sepolia
