Project Name,ballots,median amount,Quorum reached,OP Received,Project Profile
Protocol Guild,95,668000.0,True,663853.62,https://vote.optimism.io/retropgf/3/application/0x2a1d784639add63bb313c3836b5dc1421d0a775d4cf7459c97bfbee95f39e26f
go-ethereum,101,500000.0,True,496896.42,https://vote.optimism.io/retropgf/3/application/0x5b5cb12df644ca17fabd91825886b5491d1526befaec2924315b8e5971d26cf8
Solidity,109,425000.0,True,422361.96,https://vote.optimism.io/retropgf/3/application/0xef65b1e277e1c7398bbd8a10c623d53dbbb64474ea68b6484e9ccf5c9c0cc494
Erigon,92,341666.5,True,339545.72,https://vote.optimism.io/retropgf/3/application/0x75c17ab86592588357ebe8f116dab73c6a531ec20a5b23a1f57ae7d85dbb3549
Lighthouse,89,300000.0,True,298137.85,https://vote.optimism.io/retropgf/3/application/0xd37644d60f063de12786ccd1bb192bdca7ead7aaed1707161943e0ce8bfb72ff
libp2p,85,300000.0,True,298137.85,https://vote.optimism.io/retropgf/3/application/0xc6c2fa66bbe46ab4a041463f0414883b2c12bd4399355aa62d48b2e1b2669940
ethers.js,107,300000.0,True,298137.85,https://vote.optimism.io/retropgf/3/application/0x32ee121e0dbcef2fe2b7a8e668f9a53ddc6d43e16c423fe8b4595b0120ac08d8
Hardhat,101,282000.0,True,280249.58,https://vote.optimism.io/retropgf/3/application/0x31588517386990050541aed3f6d4d5a370e30fcd5bf622886c1955ffc9565f52
Test in Prod,70,275000.0,True,273293.03,https://vote.optimism.io/retropgf/3/application/0x09a432ebeb70fe4d205e410b028c0ac46b04aa9e1e96b9fafdeb8dc06dbb22e0
ETHGlobal,90,255434.5,True,253848.98,https://vote.optimism.io/retropgf/3/application/0x9e6b178f20d63eb3179d3872317848582de1d0e793af5c3cbc6891b0071c4e76
Remix Project,90,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0xfc31f53ebad145efbb22244d8bb6a7a34b226353b89675f46d04ed0089dd931b
Lodestar,84,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0xde75c1d79d53e7864eca485bd594741b745f36cdafdc272cc7809407acb409db
DefiLlama,93,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0xda04cebe79ec8547116a948edfbdb87e48dcb0543b29b7276df53df579170f74
Account Abstraction - ERC-4337,85,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0xd730a803f5714c7f1b5e518edd57121d1b64c8c91cf611ae5f226cf9bb4b963f
Web3js,90,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0x9d1718c287c5d346ddcdaba1ea67709d8c86fb86736fc38b0be12b118e938f47
OpenZeppelin Contracts,93,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0x912e6971c43c3a46dbb82d1358af205530663ef01c2fb0691d843a9f72293689
Nethermind,78,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07
Dappnode,87,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0x2b665cd3ae32a16f5cdbecc55f61abc071ed32b13398ac741c81a7d372771bad
Vyper,97,250000.0,True,248448.21,https://vote.optimism.io/retropgf/3/application/0x023dfdedcfb50385c8c24fd86489a7f016633219c66583c71f154d7af99c6b51
🏰 BuidlGuidl,88,229024.5,True,227602.91,https://vote.optimism.io/retropgf/3/application/0x8bf38219babafdfd18899b481056e6b9dfdf5aed56e5b91a6490cbbc72ac70b0
IPFS,77,227272.0,True,225861.29,https://vote.optimism.io/retropgf/3/application/0x4ee85a3d39e87cfd1f59d5067668bcacfaf111b74bbd3d1fcbe6da166395f372
beaconcha.in,94,225000.0,True,223603.39,https://vote.optimism.io/retropgf/3/application/0xa0498cfa249bc5a542fa793407d47f31e0d090e1edf767bd1d72f7869bbbe534
Ethereum Attestation Service,93,221130.22,True,219757.63,https://vote.optimism.io/retropgf/3/application/0x5eace21ba2231567c07c2c39ad0854c8051e096d18a4bee3e08c833becd2d776
Agora,88,213636.0,True,212309.93,https://vote.optimism.io/retropgf/3/application/0x9d8e8db50a93b8fc1c68f5a99a240d4a5665fa0fe67b45c093bf70542e97fea7
Snapshot,77,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0xfadf25227cc176c7ede5ca6453f663bf57947c42664768e00de9f71c1a907c41
L2BEAT 💗,99,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0xc754e70f8d64d1923e4fb7591e0cad3790d4e164b3b11a8db1c1356714037792
Wagmi / Viem,88,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0xc593432238cfdcaf9bb9c5d5b87e447f2b6a42d59a91135e0119cccc0d15aa32
Blockscout Block Explorer,87,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0x995fc63a5a0c6388a57c586d8fa75ec8f3bb29b6bdc065fe93358ae848092f9e
foundry,83,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0x86fdabe5c2a67af3c291ce7acb008088e21f99f3f6f1d464b28e9a8c2034455b
Sourcify,77,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0x2c95b50db5da51867c96da2c76773472d2aad9a63f473a3e8096e9b4cbf3f29b
Nimbus,64,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0x2133357c7f4da64fbf24b6edde526190e6f2396e9b2b7d5f0dde12ff9799867d
revm,89,200000.0,True,198758.57,https://vote.optimism.io/retropgf/3/application/0x17e2c8ce0820b7ff172084cd69c6c2b4cdbd65e20e8af8a8f2c96b8401fb22c7
Lattice (OPCraft & MUD),68,196500.0,True,195280.29,https://vote.optimism.io/retropgf/3/application/0xd623d6ed56a0f8bb9d891f8f3c84f7d76b12741c83103715ec061eaa5d80e27e
Gitcoin,78,177500.0,True,176398.23,https://vote.optimism.io/retropgf/3/application/0x859d7ec1d7414662658b753da4559bfa6d091483fd0084b673a374e1c3cabf05
Otterscan,99,171429.0,True,170364.91,https://vote.optimism.io/retropgf/3/application/0x5c84f2c69cd6044c8a9275924a2c4040acbc8e31572260526d9b0bd028eabf04
ZachXBT,60,150388.5,True,149455.01,https://vote.optimism.io/retropgf/3/application/0x29a4b00f46a4eb31db8a962dfa202fe79f02ba3dc9dd49c98d993eb6189d72aa
rotki,93,150000.0,True,149068.93,https://vote.optimism.io/retropgf/3/application/0xf307abb7638c184e3836beb422abf8cd36b7fd2bbb4fbd0fdeadf7ab7047a8c8
Revoke.cash,90,150000.0,True,149068.93,https://vote.optimism.io/retropgf/3/application/0xa0ef6246d5c1dc17417db2b0f2b0b3aa3113f9c6df5920e93ac1e0c639a5bd1e
OP Reth,65,150000.0,True,149068.93,https://vote.optimism.io/retropgf/3/application/0x356900a8a5aa893d522dfcd67cc89f6472f8793ea8cf41088b47833ff1c16b5f
Giveth,78,150000.0,True,149068.93,https://vote.optimism.io/retropgf/3/application/0x17cfb81d50a65a6ef3e7ecfdf8e4ca428514d77e74ca3c650d4ba9926f9e67ac
Mirror,73,139852.0,True,138983.92,https://vote.optimism.io/retropgf/3/application/0x2d8dc7a3cd967718d8f27253b4a3912653d308620007576ac0697ba65fecd985
TrueBlocks / Unchained Index,70,137500.0,True,136646.52,https://vote.optimism.io/retropgf/3/application/0xd7678550d5092dc6163c97666248ff136eae59c82e3bfd21905be13024d0662e
Ethereum on ARM,60,134283.5,True,133449.98,https://vote.optimism.io/retropgf/3/application/0x092a8ce182f9443499d2a36b1b6bbcd5da9340360d82a38c921b6b5c46f1e67f
Immunefi,53,130000.0,True,129193.07,https://vote.optimism.io/retropgf/3/application/0x12da34c1a3904b0f73945a9d7babe8f5182000b737a7da1fc3777554589a2191
Open Source Observer,63,128713.0,True,127914.06,https://vote.optimism.io/retropgf/3/application/0x21ff2e7e147448cad238cf12c9622b73cd409d17d6b9443181f8ea4f3a044c86
Ethereum Cat Herders,75,125000.0,True,124224.11,https://vote.optimism.io/retropgf/3/application/0xfcc4798ccc9e2f578ce316278aa40da3fcee3c3f0b92c265062cf31906f2e815
Department of Decentralization,62,125000.0,True,124224.11,https://vote.optimism.io/retropgf/3/application/0xf780b4a39ea9529b9e7af1638c816801ce89cf06e93dd6d66ea383fb3ed263f0
TypeChain / DethCode,55,125000.0,True,124224.11,https://vote.optimism.io/retropgf/3/application/0xa41c1671630bb1c1474b3ec7fecf4fc13f3bb292d29620a83878dfcd66ed4006
Frame,79,124313.0,True,123541.37,https://vote.optimism.io/retropgf/3/application/0xdb768783fabfa13b0755542de7af4cb1d4a0c3e0b52ba68069c5d06b3718b7d5
Slither,68,122500.0,True,121739.62,https://vote.optimism.io/retropgf/3/application/0xdc83083060482b77d672b1ce442d426f9c9843bd5f6bd2b994a3bdc70489e3d0
BasePaint,57,115777.0,True,115058.35,https://vote.optimism.io/retropgf/3/application/0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc
Small Brain Games,57,114999.0,True,114285.18,https://vote.optimism.io/retropgf/3/application/0x9a3872d9d2a22b3d9e0cd88a7169fbc897a3aea36159e62253be38c06cf97bb2
CharmVerse,57,110000.0,True,109317.21,https://vote.optimism.io/retropgf/3/application/0x6b71f6d6aa0190ee949d08c706f772a90e600cc55972287fdb74cbafc2ba099e
Aerodrome Finance,51,105000.0,True,104348.25,https://vote.optimism.io/retropgf/3/application/0x8a98ca3820628543b412f97cfb5e9d0b75987432daf1d6199a658234727c8564
Kwenta,46,100500.0,True,99876.18,https://vote.optimism.io/retropgf/3/application/0xd19033e89a3fcb4a7dc19baad712836f6965cf6b4efc0a40f1f0e46d23f8256c
Ultra Sound Relay,42,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xf6c81f36041a6d90c828596ffa470e1fc4929cad6ade4242f3f8a9f37f66597e
Secureum,36,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xf3556b88ce615a95656a66b816dccd3aafa786e47905a2bf5f40af726c481ebd
Candide,43,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xf28fd827c67ce04a26b1ecf1f938d109f56c0977d5a2f0a0a7ecb14eb3276122
CryptoZombies,70,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xea51114ddd4cd331be77a9318748c5e276a2b3c34c5e220558e6fb88483bec5c
RainbowKit,79,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xe9140c31f3a448f0f52124b3f9782f7947d698a686ceb20f77f60366670f3f8e
Metagov,58,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e
Cannon,54,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xdc0face64ba51ddef44e2735f61245b27d54351a77d1a838b15d447e5ac6fcd0
Coordinape,52,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xcec7aea98b44a9e53c771a33664e9349c0cfd6d9bb769a40c2acb8baf1a3beb1
Wallet Abstraction,33,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xb3ee9ece0744873de674a173e46ad498bb7bbd53d98623b05b748d2f2a58210f
Velodrome,44,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xb223887547f0bd1560b4e472a18da5f8733792b7e334bf8009dd36346b91a8f8
Blobscan,45,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0xaa5c01558feace0ee3dde7cca66d30b81b6f097f26405aa0a4e6fdc1885adf5b
Support NERDs,41,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x9f02d0fb07627df18ee7c9aced74e8f9bfb6ed4801619de380b0cde3e5a7941c
Fe,50,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x9ed643c855860e3fa9950a598af75c9810a39e2780c4227afe5bc8df865c067d
StreamETH,38,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x9ae606d30dc33cdb405ea16e48fd055ba496a088cd4cc7efec488db659a296d2
EthernautDAO,60,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x93d140bdf129de19dce4df8922b9b599aabde4632a89e646a84669b470ee5a8a
Ipsilon,40,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x92a87cf038d881b99443a9157cd5649fe87a9df62511aaf72c5fe659ff8ef02b
Lyra Finance,40,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905
Waffle,57,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x877ded44fae0833c412ef1b802419a7d6d9e668c6f92f1fb439dbbd40ca12b2d
Guild.xyz,62,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x867d2124127d8e8cca1dffa619fce4279b29312553774c585be90c0427a81c39
Synpress,55,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x7992f31ac0db3aad3dc7edead1a3670a6be071703212129f3a396c043cb23e84
Optimistic Indexer,44,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x75815ccd858e6b97c6e8435e24ec66b1bc4d67c4775a81d4b49a8c58b62daf3f
Vectorized,72,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x71e490b88c1fcd2eec579fd0d16da882c82aa9f86b8f7b0ae3ce2096139dc22f
UseDApp,41,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x6af5473e4db0dd86a69cb40bb73784f078e1dd2c242bad094331cde932c54daf
Synthetix,54,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x6ae2bf87fcbddb4d715add72ea987fcb9537ec19e3f859befeebeed533144e73
eth.limo,50,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x67d0c66af963dd27720330e5dc2b5ab73a522c9436fd4085aa7048f1584da54b
Optimism Translators,41,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x667dd1b67a216d3e7a0499dbdb6728837677cb8787a002dfd093708dc705584a
ApeWorX LTD,63,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x6655fe259700452b0452aad4b8c7589c745e7df2dccefe76d70701317fd9e3b8
Soul Wallet,39,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x641fe0827e471069d6c0d2aa3a0688393aa20c3c845da252b4c8450cdee29630
Gitcoin Passport,60,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x60085a98f5c48d97a28d7b45d193f9a734d1704e257df91827459b09565e0e47
Ronan Sandford,61,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x5a18e693d79904be1b43af93354e08bf21c1e6322d29cfd03fd235e27bb6e815
EthereumETL,42,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x5673d6a413d360de74d262487bdb4e70cb357c4d890af9cd62a369b1d858416b
Yearn,45,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x4b73a8f4d2e3bf2f6cff7ae014b13fdf8a85d0b33064127e53b81b2b7d365652
Tally,65,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x3a4decc8b39d16b0eff1b41134bc9b9fcdba84292c2416766237125ad730072f
Optimism Ambassadors,33,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x24b3600b0d049e7bdaee893d3988bdc4b04ebb0819c2c44f693093637d96f111
Kernel,67,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x1fd47d4e1eb48f9423464b8fe00c9b2c490705e138082ac5c3b8ee7aa2258d3b
Sushi,38,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x176d93beb29316e51b21e42cc1d49ef0867b37bda258b06ba410a3043fee7df5
P256Verifier,61,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x118a000851cf4c736497bab89993418517ac7cd9c8ede074aff408a8e0f84060
The Ethernaut,56,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x1053c5fc1597ff030c267d4667898095ca3a42cc370fe9b8d156880b8a2b455e
Zuzalu,46,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x0d0e25080679f616ff720b738c084c971d67c39a9e0a9cdec4541f011376a72d
ZORA,59,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c
Blocknative | Web3 Onboard,44,100000.0,True,99379.28,https://vote.optimism.io/retropgf/3/application/0x0a70938874b0558c1ce25ba50bb3cf18125b55a92b22171205d41a79a2680974
Aestus Relay,22,97902.0,True,97294.31,https://vote.optimism.io/retropgf/3/application/0x5c465f2cece28e1ba91ef5967549fec63f8b17212fba05e5e0117b442af554b8
Pairwise,66,96809.5,True,96208.59,https://vote.optimism.io/retropgf/3/application/0xefa8ac63c7c8ba12ad5e43575ea25cd2d60fc44d38f6c83aea47ca6a7a05662d
Hypercerts Foundation,49,95000.0,True,94410.32,https://vote.optimism.io/retropgf/3/application/0xdc7101e51a122ec96eaf07c4191f5cc0a096ef50cbbdfdf5936464369991afb2
WhatsABI,44,95000.0,True,94410.32,https://vote.optimism.io/retropgf/3/application/0x0056608c46c8d39fe0433671112d2b657578f801379b16e62f2e910f72406745
Prettier Solidity,73,93235.0,True,92656.28,https://vote.optimism.io/retropgf/3/application/0xa1ba547a93ddb2d5273ad0960f42b4c2d1a1dd92fe945b019787a937c5e9c705
Funding the Commons,53,93235.0,True,92656.28,https://vote.optimism.io/retropgf/3/application/0x258d37e997650d7c83eba44f7210224fdb2afbf331e6e6dedb8bf6e83c75645c
Splits,56,92743.5,True,92167.83,https://vote.optimism.io/retropgf/3/application/0x2b4aeb64146ded169a426bde053b3f9e9e925ee740a58149d92812114af83de6
OP Governance Analytics Dashboard,48,91000.0,True,90435.15,https://vote.optimism.io/retropgf/3/application/0xebfc1df338555d25cbe27bce4896c16c761e90e879be669fe8a6910c9f60dc6d
Conduit,43,90000.0,True,89441.36,https://vote.optimism.io/retropgf/3/application/0xf6e92ff9410d269f6e6659011dfdc4f3cbd59fee6736924bf7fb948c75ca5113
Zero Knowledge Podcast,47,90000.0,True,89441.36,https://vote.optimism.io/retropgf/3/application/0xb046f206a85340c9a5fd8a2580c50a959a5e12ce83472533cf7320481836c242
draper,43,90000.0,True,89441.36,https://vote.optimism.io/retropgf/3/application/0x0ce37173aac4d925ca6434dc28b7fad840870ec6ee27bda8c7db4685cb6fd812
Galxe,47,85846.0,True,85313.14,https://vote.optimism.io/retropgf/3/application/0x198fe5e11670cd1195067815e48f7e696fe5e7bf43a1c15f9bbbdcd72442c319
PatrickAlphaC,47,85000.0,True,84472.39,https://vote.optimism.io/retropgf/3/application/0xfcd835dcd49c065f771ddd79ee1a37a908645121a0a59c51738507d6c89ae06c
ETHSafari 2023,38,82743.5,True,82229.9,https://vote.optimism.io/retropgf/3/application/0xe75ec593d70d62544e17643586f9742e6bb779e9562eaa8202a9a04dd6782f85
Keccak hashing,52,82500.0,True,81987.91,https://vote.optimism.io/retropgf/3/application/0xaee5d6c20a44b769b67767b8e691476d87b0b644784f635664c3f133c63e822b
Sonne Finance,36,82500.0,True,81987.91,https://vote.optimism.io/retropgf/3/application/0x655147f840bb857c98d0a6841d40c43a0d1359aa79843c46e8e15b9f8cafd6eb
EthStaker,54,82500.0,True,81987.91,https://vote.optimism.io/retropgf/3/application/0x29a3d9a092906a2b2cbe6e979b3d56f3a88047a9b2b5647ed8f8d40783cd5edf
Hats Protocol,39,80000.0,True,79503.43,https://vote.optimism.io/retropgf/3/application/0xe481da7dcea63794d734fbbd156f0327a4b6905852d6865a5437b722c80871ab
Holograph,25,80000.0,True,79503.43,https://vote.optimism.io/retropgf/3/application/0xd36960a852e96960b93022ee1d40f33170e9786cda841db0bb6a8f4130658529
LexDAO,45,80000.0,True,79503.43,https://vote.optimism.io/retropgf/3/application/0x88403a05838b89463ea5a2a8635d2b4c537fb2f6e7a4b939bebb60adb7dedee0
Alloy,39,78000.0,True,77515.84,https://vote.optimism.io/retropgf/3/application/0xc7f3dfa39edf399c56c96c2c192f50e54e71faefd01a07a8b3d9e6d9471ed09c
Socket,46,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xef72bca84161d8ba1e471dbe58b8a3fef9cd56e697e885d78c6ec5c77e81b71a
Endaoment,49,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xe04b509d073efc17c44e3dd988dbb46724a11836aff71575424bcc7a0ec91123
Gelato,64,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xdb2312b8fbf29ccf68c0b22ee4d2d9dfcf192d32cd86c58d9bc5cfd610783084
AW House/Komorebi's Hacker House,46,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xda538dc56054ec05476e152009df9af3e1947505e067b8363dd568a0d89c739d
DappRadar,54,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76
Rainbow Wallet,58,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0xb1af1a67d6a94f233303d850c607aa1e26365237ab1376864a81d636ec0ebe0a
Sassal.eth,70,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0x9e1829323c35d18c3b5366b75922da2d966c39abf4472b29f763cf09e150a09d
growthepie,66,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0x849e164d1b8cc2b51bd3313d007ac58acb816660492336d2498615551ec75f02
ChainList,67,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0x7d1e13db1b852828f7072e10fcfc179751c624f6a93929a3b5a4a6795d5bdec4
Tenderly,74,76923.0,True,76445.53,https://vote.optimism.io/retropgf/3/application/0x63506f0d71ed13eb435d76d593ad9d466dec78e7e19417538e8abde6e4d8ffe6
